FLARE_IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),GOES Flare Class,Estimated GOES Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,IP Radio Bursts
FLARE0000,,SEP0008,GOES,2021-07-03 14:18:00,,2021-07-03 14:29:00,,2021-07-03 14:34:00,,2021-07-03 14:18:00,,2021-07-03 14:29:00,,2021-07-03 14:34:00,,2021-07-03 14:09:40,,2021-07-03 14:20:40,,2021-07-03 14:25:40,,X1.5,,81.0,24.0,,,1.0,,12838.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2021/crocs_flux_20210703.png
FLARE0001,CME0001,SEP0011,STIX,,2021-07-15 21:05:04,,2021-07-15 21:21:28,,2021-07-15 22:33:52,,2021-07-15 21:06:15,,2021-07-15 21:22:39,,2021-07-15 22:35:03,,2021-07-15 20:57:55,,2021-07-15 21:14:19,,2021-07-15 22:26:43,,M5,,,-165.0,-18.0,,0.857,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2021/crocs_flux_20210715.png
FLARE0002,CME0006,SEP0016,GOES,2021-10-28 15:17:00,,2021-10-28 15:35:00,,2021-10-28 15:48:00,,2021-10-28 15:17:00,,2021-10-28 15:35:00,,2021-10-28 15:48:00,,2021-10-28 15:08:40,,2021-10-28 15:26:40,,2021-10-28 15:39:40,,X1.0,,5.0,-26.0,,,1.0,,12887.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2021/crocs_flux_20211028.png
FLARE0003,,,STIX,,2022-01-12 08:13:32,,2022-01-12 08:19:52,,2022-01-12 08:47:04,,2022-01-12 08:13:51,,2022-01-12 08:20:11,,2022-01-12 08:47:23,,2022-01-12 08:05:31,,2022-01-12 08:11:51,,2022-01-12 08:39:03,,M7,,,,,,0.961,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220112.png
FLARE0004,CME0017,SEP0021,GOES,2022-01-20 05:41:00,,2022-01-20 06:01:00,,2022-01-20 06:12:00,,2022-01-20 05:41:00,,2022-01-20 06:01:00,,2022-01-20 06:12:00,,2022-01-20 05:32:40,,2022-01-20 05:52:40,,2022-01-20 06:03:40,,M5.5,,68.0,8.0,,,1.0,,12929.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220120.png
FLARE0005,,,STIX,,2022-01-20 05:46:35,,2022-01-20 05:58:55,,2022-01-20 07:03:27,,2022-01-20 05:47:13,,2022-01-20 05:59:33,,2022-01-20 07:04:05,,2022-01-20 05:38:53,,2022-01-20 05:51:13,,2022-01-20 06:55:45,,M6,,,,,,0.924,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220120.png
FLARE0006,,,STIX,,2022-01-25 10:23:56,,2022-01-25 10:27:16,,2022-01-25 11:06:24,,2022-01-25 10:24:48,,2022-01-25 10:28:08,,2022-01-25 11:07:16,,2022-01-25 10:16:28,,2022-01-25 10:19:48,,2022-01-25 10:58:56,,M7,,,-92.0,18.0,,0.895,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220125.png
FLARE0007,,SEP0028,GOES/STIX,2022-03-30 17:21:00,2022-03-30 17:18:15,2022-03-30 17:37:00,2022-03-30 17:30:16,2022-03-30 17:46:00,2022-03-30 18:46:12,2022-03-30 17:21:00,2022-03-30 17:23:48,2022-03-30 17:37:00,2022-03-30 17:35:48,2022-03-30 17:46:00,2022-03-30 18:51:44,2022-03-30 17:12:40,2022-03-30 17:15:28,2022-03-30 17:28:40,2022-03-30 17:27:28,2022-03-30 17:37:40,2022-03-30 18:43:24,X1.3,M9,39.0,13.0,31.0,13.0,1.0,0.335,12975.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220330.png
FLARE0008,,,GOES/STIX,2022-03-31 18:17:00,2022-03-31 18:15:48,2022-03-31 18:35:00,2022-03-31 18:26:44,2022-03-31 18:45:00,2022-03-31 19:48:20,2022-03-31 18:17:00,2022-03-31 18:21:17,2022-03-31 18:35:00,2022-03-31 18:32:13,2022-03-31 18:45:00,2022-03-31 19:53:49,2022-03-31 18:08:40,2022-03-31 18:12:57,2022-03-31 18:26:40,2022-03-31 18:23:53,2022-03-31 18:36:40,2022-03-31 19:45:29,M9.6,M6,47.0,13.0,46.0,12.0,1.0,0.342,12975.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220331.png
FLARE0009,,,GOES,2022-04-17 03:17:00,,2022-04-17 03:34:00,,2022-04-17 03:51:00,,2022-04-17 03:17:00,,2022-04-17 03:34:00,,2022-04-17 03:51:00,,2022-04-17 03:08:40,,2022-04-17 03:25:40,,2022-04-17 03:42:40,,X1.1,,-88.0,12.0,,,1.0,,12994.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220417.png
