CME IDX,FLARE_IDX,Other associations,SEP_IDX,GOES Flare Class,GOES Estimated Flare Class for STIX,Start Time (Observer),Observer,Start time (1 AU),Start time (Sun),Central Position Angle (degrees),Angular Width (degrees),Speed (km/s),Acceleration (m/s2),Mass (g),Kinetic Energy (erg)
CME0160,,,,,,2024-02-17 14:48:05,LASCO,2024-02-17 14:48:05,2024-02-17 14:39:45,Halo,360,1744,-124.6*,,
CME0161,,,,,,2024-02-18 10:00:05,LASCO,2024-02-18 10:00:05,2024-02-18 09:51:45,Halo,360,1152,-16.8,,
CME0162,,,,,,2024-02-21 02:12:05,LASCO,2024-02-21 02:12:05,2024-02-21 02:03:45,134,188,1014,-22.9,,
CME0163,,,,,,2024-02-22 00:12:05,LASCO,2024-02-22 00:12:05,2024-02-22 00:03:45,149,233,1085,-33.3,,
CME0164,,,,,,2024-03-15 01:59:31,LASCO,2024-03-15 01:59:31,2024-03-15 01:51:11,Halo,360,1007,84.6,,
CME0165,,,,,,2024-03-15 05:29:31,LASCO,2024-03-15 05:29:31,2024-03-15 05:21:11,269,34,1202,83.8*,,
CME0166,FLARE0205,,,X1.1,,2024-03-23 01:25:51,LASCO,2024-03-23 01:25:51,2024-03-23 01:17:31,Halo,360,1470,-14.9,,
CME0167,,,,,,2024-04-10 00:24:05,LASCO,2024-04-10 00:24:05,2024-04-10 00:15:45,121,122,1023,-29.1*,,
CME0168,,,,,,2024-04-11 05:00:06,LASCO,2024-04-11 05:00:06,2024-04-11 04:51:46,103,28,1093,-51.9*,,
CME0169,,,,C1.8,,2024-04-11 06:48:06,LASCO,2024-04-11 06:48:06,2024-04-11 06:39:46,162,257,1527,11.4,,
CME0170,,,,,,2024-04-11 10:12:05,LASCO,2024-04-11 10:12:05,2024-04-11 10:03:45,112,141,1515,-49.0,,
CME0171,,,,,,2024-04-11 14:36:05,LASCO,2024-04-11 14:36:05,2024-04-11 14:27:45,151,92,1008,4.2*,,
CME0172,FLARE0212,,,C3.6,,2024-04-11 17:12:05,LASCO,2024-04-11 17:12:05,2024-04-11 17:03:45,149,249,1489,-44.6,,
CME0173,FLARE0230,,,X2.2,,2024-05-09 09:24:05,LASCO,2024-05-09 09:24:05,2024-05-09 09:15:45,Halo,360,1280,-20.6,,
CME0174,FLARE0231,,,X1.1,,2024-05-09 18:52:00,LASCO,2024-05-09 18:52:00,2024-05-09 18:43:40,Halo,360,1024,-73.7*,,
CME0175,FLARE0234,,,X5.8,,2024-05-11 01:36:05,LASCO,2024-05-11 01:36:05,2024-05-11 01:27:45,Halo,360,1614,28.1,,
CME0176,FLARE0239,"FLARE0239,FLARE0240",,M1.2,C8,2024-05-13 08:48:06,LASCO,2024-05-13 08:48:06,2024-05-13 08:39:46,Halo,360,1690,129.9,,
CME0177,FLARE0245,"FLARE0245,FLARE0246",,M4.4,X8,2024-05-14 17:00:05,LASCO,2024-05-14 17:00:05,2024-05-14 16:51:45,Halo,360,2010,-89.9,,
CME0178,FLARE0245,"FLARE0245,FLARE0246",,M4.4,X8,2024-05-14 17:48:05,LASCO,2024-05-14 17:48:05,2024-05-14 17:39:45,Halo,360,1407,-40.3,,
CME0179,FLARE0247,,,,X9,2024-05-15 08:36:07,LASCO,2024-05-15 08:36:07,2024-05-15 08:27:47,Halo,360,1648,-23.9,,
CME0180,FLARE0248,,,X2.9,,2024-05-15 16:30:05,LASCO,2024-05-15 16:30:05,2024-05-15 16:21:45,138,190,1570,78.2*,,
CME0181,FLARE0249,,,,X9,2024-05-15 20:56:53,LASCO,2024-05-15 20:56:53,2024-05-15 20:48:33,Halo,360,1250,11.6,,
CME0182,,,,,,2024-05-16 08:12:05,LASCO,2024-05-16 08:12:05,2024-05-16 08:03:45,87,49,1216,1.6*,,
CME0183,FLARE0251,,,C3.3,X5,2024-05-16 13:36:29,LASCO,2024-05-16 13:36:29,2024-05-16 13:28:09,260,258,1102,-13.4,,
CME0184,FLARE0255,,,C4.8,X6,2024-05-17 12:48:05,LASCO,2024-05-17 12:48:05,2024-05-17 12:39:45,Halo,360,1160,-16.9,,
CME0185,FLARE0256,,,C2.7,,2024-05-17 21:12:10,LASCO,2024-05-17 21:12:10,2024-05-17 21:03:50,92,260,1098,-34.6,,
CME0186,FLARE0257,,,,X12,2024-05-20 05:36:05,LASCO,2024-05-20 05:36:05,2024-05-20 05:27:45,Halo,360,1459,-27.1,,
CME0187,FLARE0260,"FLARE0260,FLARE0261",,X2.8,X1,2024-05-27 07:24:05,LASCO,2024-05-27 07:24:05,2024-05-27 07:15:45,Halo,360,1291,-13.7,,
CME0188,,,,,,2024-06-05 01:25:53,LASCO,2024-06-05 01:25:53,2024-06-05 01:17:33,96,136,1193,-56.0,,
CME0189,FLARE0269,,,M3.3,,2024-06-08 01:48:05,LASCO,2024-06-08 01:48:05,2024-06-08 01:39:45,Halo,360,1427,40.0,,
CME0190,,,,,,2024-06-10 18:36:05,LASCO,2024-06-10 18:36:05,2024-06-10 18:27:45,290,249,1266,-3.7,,
CME0191,FLARE0275,,,C2.7,X3,2024-06-11 23:06:13,LASCO,2024-06-11 23:06:13,2024-06-11 22:57:53,Halo,360,1988,1.8,,
CME0192,,,,,,2024-06-19 13:25:55,LASCO,2024-06-19 13:25:55,2024-06-19 13:17:35,89,20,1136,-154.7*,,
CME0193,,,,,,2024-06-21 23:48:05,LASCO,2024-06-21 23:48:05,2024-06-21 23:39:45,66,268,1388,-34.8,,
CME0194,,,,,,2024-07-10 21:24:05,LASCO,2024-07-10 21:24:05,2024-07-10 21:15:45,Halo,360,1130,-47.0,,
CME0195,,,,C3.6,,2024-07-12 23:06:14,LASCO,2024-07-12 23:06:14,2024-07-12 22:57:54,86,186,1055,-23.3,,
CME0196,,,,,,2024-07-15 09:36:05,LASCO,2024-07-15 09:36:05,2024-07-15 09:27:45,63,80,1506,-26.5*,,
CME0197,,,,,,2024-07-16 00:36:05,LASCO,2024-07-16 00:36:05,2024-07-16 00:27:45,78,147,1082,-71.2*,,
CME0198,,,,M2.4,,2024-07-23 14:12:05,LASCO,2024-07-23 14:12:05,2024-07-23 14:03:45,Halo,360,1031,-6.5,,
CME0199,FLARE0298,,,M3.1,X1,2024-07-27 04:48:05,LASCO,2024-07-27 04:48:05,2024-07-27 04:39:45,Halo,360,1426,120.8*,,
CME0200,,,,,,2024-07-27 20:36:05,LASCO,2024-07-27 20:36:05,2024-07-27 20:27:45,291,17,1361,176.5*,,
CME0201,FLARE0307,,,M6.4,,2024-07-29 20:00:06,LASCO,2024-07-29 20:00:06,2024-07-29 19:51:46,145,104,1189,-17.8,,
CME0202,FLARE0309,,,M9.4,,2024-07-30 19:48:05,LASCO,2024-07-30 19:48:05,2024-07-30 19:39:45,133,176,1522,-91.7,,
CME0203,,,,,,2024-07-31 07:12:05,LASCO,2024-07-31 07:12:05,2024-07-31 07:03:45,250,190,1164,24.5*,,
CME0204,FLARE0311,,,M6.0,,2024-07-31 13:25:52,LASCO,2024-07-31 13:25:52,2024-07-31 13:17:32,141,116,1018,-4.9,,
CME0205,FLARE0312,,,M5.4,,2024-07-31 18:36:05,LASCO,2024-07-31 18:36:05,2024-07-31 18:27:45,Halo,360,1118,-8.4,,
CME0206,FLARE0314,"FLARE0314,FLARE0315",,M8.2,C9,2024-08-01 07:24:05,LASCO,2024-08-01 07:24:05,2024-08-01 07:15:45,Halo,360,1024,-5.3,,
CME0207,,,,,,2024-08-01 11:36:05,LASCO,2024-08-01 11:36:05,2024-08-01 11:27:45,130,123,1803,-49.2,,
CME0208,,,,,,2024-08-02 05:00:07,LASCO,2024-08-02 05:00:07,2024-08-02 04:51:47,269,203,1141,3.8,,
CME0209,FLARE0326,"FLARE0326,FLARE0327",,X1.7,,2024-08-05 13:48:06,LASCO,2024-08-05 13:48:06,2024-08-05 13:39:46,Halo,360,1155,-0.2,,
CME0210,,,,,,2024-08-17 19:12:05,LASCO,2024-08-17 19:12:05,2024-08-17 19:03:45,272,98,1053,-11.2*,,
CME0211,,,,,,2024-08-28 04:12:05,LASCO,2024-08-28 04:12:05,2024-08-28 04:03:45,81,176,1140,87.2,,
CME0212,FLARE0350,,,M5.5,,2024-09-01 12:00:05,LASCO,2024-09-01 12:00:05,2024-09-01 11:51:45,Halo,360,1381,53.5,,
CME0213,FLARE0351,,,M1.4,X3,2024-09-03 08:00:05,LASCO,2024-09-03 08:00:05,2024-09-03 07:51:45,Halo,360,1265,-23.5,,
CME0214,,,,,,2024-09-05 07:00:05,LASCO,2024-09-05 07:00:05,2024-09-05 06:51:45,Halo,360,1274,-46.1,,
CME0215,FLARE0354,,,,X4,2024-09-09 05:24:05,LASCO,2024-09-09 05:24:05,2024-09-09 05:15:45,Halo,360,1522,-35.2,,
CME0216,FLARE0361,,,X4.5,,2024-09-14 15:36:06,LASCO,2024-09-14 15:36:06,2024-09-14 15:27:46,Halo,360,2366,111.4,,
CME0217,,,,,,2024-09-18 12:36:05,LASCO,2024-09-18 12:36:05,2024-09-18 12:27:45,160,161,1437,-17.1*,,
CME0218,,,,M3.7,,2024-09-22 21:36:05,LASCO,2024-09-22 21:36:05,2024-09-22 21:27:45,Halo,360,1256,-11.9,,
CME0219,,,,,,2024-10-03 20:36:05,LASCO,2024-10-03 20:36:05,2024-10-03 20:27:45,258,210,1013,-12.2*,,
CME0220,,,,,,2024-10-08 06:06:09,LASCO,2024-10-08 06:06:09,2024-10-08 05:57:49,178,172,1095,-13.9,,
CME0221,FLARE0368,,,X1.8,M3,2024-10-09 02:12:06,LASCO,2024-10-09 02:12:06,2024-10-09 02:03:46,Halo,360,1435,-52.1,,
CME0222,FLARE0372,,,X3.3,X2,2024-10-24 03:48:05,LASCO,2024-10-24 03:48:05,2024-10-24 03:39:45,Halo,360,2385,0.3,,
CME0223,FLARE0373,"FLARE0373,FLARE0374,FLARE0375",,M9.5,M2,2024-10-26 06:36:05,LASCO,2024-10-26 06:36:05,2024-10-26 06:27:45,Halo,360,1914,67.4,,
CME0224,,,,M1.1,,2024-10-29 19:30:44,LASCO,2024-10-29 19:30:44,2024-10-29 19:22:24,240,232,1454,-298.1*,,
CME0225,,,,C5.9,,2024-11-21 18:12:05,LASCO,2024-11-21 18:12:05,2024-11-21 18:03:45,Halo,360,1436,-80.6,,
CME0226,,,,,,2024-11-25 18:00:06,LASCO,2024-11-25 18:00:06,2024-11-25 17:51:46,238,131,1210,33.4*,,
CME0227,,,,,,2024-12-17 16:00:05,LASCO,2024-12-17 16:00:05,2024-12-17 15:51:45,Halo,360,1786,-108.0,,
CME0228,FLARE0391,,,M3.8,M7,2024-12-19 18:16:54,LASCO,2024-12-19 18:16:54,2024-12-19 18:08:34,Halo,360,1078,-44.5,,
CME0229,,,,,,2024-12-21 20:00:05,LASCO,2024-12-21 20:00:05,2024-12-21 19:51:45,27,17,1109,0.1*,,
CME0230,,,,,,2024-12-24 20:12:07,LASCO,2024-12-24 20:12:07,2024-12-24 20:03:47,209,62,1204,-23.7*,,
